route,service_type,cause,start_time,station,delay_min,weather,year
Basel-Lausanne,IC,Operations,2022-04-05 12:43:00,Basel SBB,5,clear,2022
St. Gallen-Zürich,IR,Infrastructure,2022-04-05 23:37:00,Winterthur,6,clear,2022
Zürich-Chur,IC,External,2022-04-06 20:51:00,Chur,22,clear,2022
Zürich-Chur,IC,Infrastructure,2022-04-06 22:23:00,Zürich HB,21,snow,2022
S5 Bern,S,External,2022-04-07 05:44:00,Burgdorf,21,rain,2022
Bern-Biel,IR,Operations,2022-04-07 12:03:00,Lyss,10,rain,2022
Zürich-Luzern,IC,Rolling stock,2022-04-07 17:03:00,Zug,16,clear,2022
Basel-Olten,IC,Infrastructure,2022-04-08 08:23:00,Basel SBB,2,rain,2022
Zürich-Bern,IC,Connection wait,2022-04-08 08:49:00,Bern,2,clear,2022
Lausanne-Brig,IR,Operations,2022-04-08 16:05:00,Brig,9,clear,2022
Lausanne-Brig,IR,Boarding,2022-04-09 18:01:00,Lausanne,8,rain,2022
Zürich-Bern,IC,Rolling stock,2022-04-10 20:10:00,Olten,24,clear,2022
Lugano-Locarno,RE,External,2022-04-10 22:31:00,Lugano,2,rain,2022
Bern-Brig,IC,Infrastructure,2022-04-11 06:19:00,Bern,8,clear,2022
S6 Basel,S,External,2022-04-11 09:03:00,Basel SBB,40,rain,2022
Lausanne-Brig,IR,External,2022-04-11 13:34:00,Sion,5,rain,2022
Genève-Lausanne,IC,Connection wait,2022-04-11 19:11:00,Nyon,6,clear,2022
Zürich-Luzern,IC,Operations,2022-04-12 07:10:00,Luzern,10,clear,2022
Bern-Biel,IR,Connection wait,2022-04-12 12:07:00,Lyss,2,clear,2022
Zürich-Genève,IC,Connection wait,2022-04-12 13:13:00,Bern,5,snow,2022
Zürich-Chur,IC,Rolling stock,2022-04-12 20:45:00,Zürich HB,12,clear,2022
Olten-Zofingen,RE,Infrastructure,2022-04-13 12:02:00,Olten,36,clear,2022
Zürich-Bern,IC,Boarding,2022-04-13 23:24:00,Olten,2,clear,2022
S6 Basel,S,Connection wait,2022-04-14 07:13:00,Pratteln,5,clear,2022
Zürich-Luzern,IC,Operations,2022-04-15 07:14:00,Luzern,12,snow,2022
Basel-Olten,IC,External,2022-04-15 18:32:00,Liestal,2,clear,2022
Olten-Zofingen,RE,Rolling stock,2022-04-15 23:57:00,Zofingen,22,clear,2022
St. Gallen-Zürich,IR,Operations,2022-04-16 06:18:00,Zürich HB,2,clear,2022
S2 Zürich,S,Infrastructure,2022-04-16 10:27:00,Effretikon,32,clear,2022
S1 Lausanne,S,Boarding,2022-04-19 07:59:00,Yverdon,7,rain,2022
St. Gallen-Zürich,IR,Rolling stock,2022-04-19 16:13:00,Winterthur,2,clear,2022
Bern-Brig,IC,Rolling stock,2022-04-21 10:49:00,Bern,2,rain,2022
Genève-Lausanne,IC,Infrastructure,2022-04-21 14:31:00,Lausanne,18,clear,2022
Zürich-Chur,IC,External,2022-04-21 15:55:00,Zürich HB,95,clear,2022
Bern-Biel,IR,External,2022-04-21 18:02:00,Biel/Bienne,6,clear,2022
Zürich-Bern,IC,Rolling stock,2022-04-22 09:11:00,Olten,2,clear,2022
S6 Basel,S,Boarding,2022-04-23 06:30:00,Basel SBB,2,clear,2022
Bern-Belp,RE,Infrastructure,2022-04-24 07:16:00,Bern,40,clear,2022
Lugano-Locarno,RE,Boarding,2022-04-24 07:39:00,Lugano,4,clear,2022
Lausanne-Brig,IR,Rolling stock,2022-04-24 16:56:00,Brig,3,clear,2022
S2 Zürich,S,Infrastructure,2022-04-24 17:28:00,Zürich HB,16,clear,2022
S5 Bern,S,Infrastructure,2022-04-24 17:43:00,Burgdorf,19,clear,2022
S5 Bern,S,Rolling stock,2022-04-24 21:16:00,Bern,9,clear,2022
Zürich-Luzern,IC,External,2022-04-25 12:19:00,Zug,11,clear,2022
Genève-Lausanne,IC,Infrastructure,2022-04-26 23:38:00,Genève,23,fog,2022
S1 Lausanne,S,Infrastructure,2022-04-26 23:48:00,Yverdon,5,clear,2022
Bern-Biel,IR,Operations,2022-04-27 07:28:00,Lyss,10,clear,2022
Genève-Lausanne,IC,Infrastructure,2022-04-27 13:44:00,Genève,6,clear,2022
Basel-Olten,IC,Connection wait,2022-04-27 15:19:00,Basel SBB,2,rain,2022
S5 Bern,S,External,2022-04-27 16:02:00,Burgdorf,2,clear,2022
Bern-Biel,IR,Boarding,2022-04-28 07:10:00,Lyss,2,clear,2022
Zürich-Schaffhausen,IR,Rolling stock,2022-04-28 23:06:00,Schaffhausen,2,clear,2022
Lausanne-Brig,IR,Rolling stock,2022-04-29 06:29:00,Sion,9,rain,2022
Zürich-Genève,IC,External,2022-04-29 17:07:00,Bern,5,fog,2022
Olten-Zofingen,RE,Connection wait,2022-04-29 18:29:00,Olten,5,clear,2022
Zürich-Bern,IC,External,2022-04-29 20:58:00,Olten,6,clear,2022
Zürich-Luzern,IC,Operations,2022-04-30 16:58:00,Zug,11,clear,2022
Basel-Olten,IC,Infrastructure,2022-04-30 21:51:00,Basel SBB,5,rain,2022
Basel-Olten,IC,External,2022-05-01 13:39:00,Basel SBB,18,rain,2022
St. Gallen-Zürich,IR,Infrastructure,2022-05-02 07:58:00,St. Gallen,21,clear,2022
Zürich-Luzern,IC,Rolling stock,2022-05-02 07:59:00,Zug,9,clear,2022
St. Gallen-Zürich,IR,Operations,2022-05-03 09:35:00,Winterthur,11,clear,2022
Bern-Brig,IC,Operations,2022-05-03 11:47:00,Brig,7,clear,2022
St. Gallen-Zürich,IR,Connection wait,2022-05-03 17:06:00,Winterthur,3,clear,2022
Zürich-Schaffhausen,IR,External,2022-05-03 20:54:00,Bülach,49,clear,2022
Zürich-Luzern,IC,External,2022-05-03 21:50:00,Luzern,2,clear,2022
Genève-Lausanne,IC,Infrastructure,2022-05-04 06:27:00,Lausanne,2,rain,2022
S1 Lausanne,S,Operations,2022-05-04 17:30:00,Yverdon,3,clear,2022
Basel-Olten,IC,External,2022-05-05 06:10:00,Olten,5,clear,2022
Olten-Zofingen,RE,External,2022-05-05 06:12:00,Olten,19,clear,2022
Lausanne-Brig,IR,Rolling stock,2022-05-05 13:15:00,Sion,7,clear,2022
Zürich-Schaffhausen,IR,Operations,2022-05-05 14:33:00,Zürich HB,9,clear,2022
St. Gallen-Zürich,IR,Rolling stock,2022-05-05 17:43:00,St. Gallen,11,clear,2022
Zürich-Chur,IC,Operations,2022-05-06 08:18:00,Chur,22,rain,2022
Genève-Lausanne,IC,Boarding,2022-05-07 08:07:00,Lausanne,2,fog,2022
St. Gallen-Zürich,IR,Operations,2022-05-07 18:56:00,Winterthur,21,clear,2022
Lausanne-Brig,IR,Operations,2022-05-08 01:34:00,Lausanne,2,clear,2022
Lausanne-Brig,IR,Operations,2022-05-08 10:01:00,Lausanne,2,clear,2022
Lausanne-Brig,IR,Connection wait,2022-05-08 12:42:00,Sion,3,clear,2022
S5 Bern,S,External,2022-05-09 03:45:00,Bern,7,clear,2022
Olten-Zofingen,RE,Operations,2022-05-09 06:00:00,Olten,6,clear,2022
Bern-Biel,IR,Connection wait,2022-05-09 15:44:00,Lyss,10,clear,2022
Bern-Biel,IR,External,2022-05-09 17:58:00,Bern,3,clear,2022
S2 Zürich,S,Rolling stock,2022-05-10 19:54:00,Zürich HB,2,clear,2022
Zürich-Bern,IC,External,2022-05-12 12:12:00,Zürich HB,4,rain,2022
Lausanne-Brig,IR,Boarding,2022-05-12 18:23:00,Brig,3,clear,2022
S1 Lausanne,S,Infrastructure,2022-05-13 20:59:00,Lausanne,5,clear,2022
Zürich-Chur,IC,Infrastructure,2022-05-14 08:38:00,Zürich HB,2,clear,2022
Bern-Biel,IR,Rolling stock,2022-05-14 09:03:00,Lyss,2,clear,2022
Bern-Brig,IC,Boarding,2022-05-15 07:09:00,Spiez,3,clear,2022
Lausanne-Brig,IR,Boarding,2022-05-16 07:19:00,Sion,6,clear,2022
Zürich-Chur,IC,Connection wait,2022-05-16 08:53:00,Sargans,4,snow,2022
S2 Zürich,S,Rolling stock,2022-05-16 16:13:00,Zürich HB,2,clear,2022
Basel-Olten,IC,Connection wait,2022-05-16 18:18:00,Olten,2,rain,2022
Lausanne-Brig,IR,Infrastructure,2022-05-16 23:03:00,Lausanne,14,rain,2022
Genève-Lausanne,IC,Rolling stock,2022-05-17 06:59:00,Genève,22,clear,2022
Bern-Biel,IR,Infrastructure,2022-05-17 12:20:00,Biel/Bienne,3,clear,2022
Zürich-Chur,IC,External,2022-05-17 12:30:00,Chur,3,clear,2022
S6 Basel,S,Boarding,2022-05-17 17:43:00,Basel SBB,3,clear,2022
Bern-Biel,IR,Boarding,2022-05-18 08:01:00,Lyss,2,clear,2022
Zürich-Genève,IC,Operations,2022-05-18 19:45:00,Zürich HB,10,snow,2022
Basel-Lausanne,IC,Rolling stock,2022-05-19 15:18:00,Lausanne,4,clear,2022
S5 Bern,S,Operations,2022-05-19 21:24:00,Bern,5,clear,2022
S5 Bern,S,Connection wait,2022-05-20 17:00:00,Bern,2,clear,2022
Zürich-Schaffhausen,IR,Operations,2022-05-21 11:03:00,Zürich HB,2,clear,2022
Bern-Biel,IR,Infrastructure,2022-05-21 14:28:00,Bern,12,rain,2022
Genève-Lausanne,IC,Rolling stock,2022-05-23 10:31:00,Nyon,2,rain,2022
Basel-Olten,IC,Connection wait,2022-05-23 10:33:00,Liestal,20,clear,2022
Lausanne-Brig,IR,Operations,2022-05-23 10:53:00,Sion,9,clear,2022
Zürich-Genève,IC,Rolling stock,2022-05-24 08:24:00,Genève,6,clear,2022
Lausanne-Brig,IR,Infrastructure,2022-05-25 03:28:00,Brig,9,clear,2022
Bern-Belp,RE,Connection wait,2022-05-26 05:03:00,Bern,5,clear,2022
Bern-Biel,IR,Rolling stock,2022-05-26 17:20:00,Bern,3,clear,2022
Zürich-Chur,IC,External,2022-05-27 19:59:00,Chur,17,clear,2022
Genève-Lausanne,IC,Operations,2022-05-28 06:21:00,Nyon,11,clear,2022
Olten-Zofingen,RE,Infrastructure,2022-05-28 06:45:00,Olten,7,clear,2022
Lugano-Locarno,RE,Boarding,2022-05-28 07:45:00,Locarno,9,clear,2022
Basel-Lausanne,IC,Operations,2022-05-28 23:58:00,Bern,16,rain,2022
S2 Zürich,S,Boarding,2022-05-29 12:10:00,Effretikon,2,snow,2022
Lugano-Locarno,RE,Rolling stock,2022-05-30 10:17:00,Lugano,2,clear,2022
Zürich-Luzern,IC,Infrastructure,2022-05-30 12:30:00,Zürich HB,29,clear,2022
Lugano-Locarno,RE,Connection wait,2022-05-31 09:36:00,Lugano,2,clear,2022
Bern-Belp,RE,Rolling stock,2022-06-02 23:32:00,Bern,2,clear,2022
Zürich-Schaffhausen,IR,External,2022-06-02 23:49:00,Bülach,41,snow,2022
Bern-Biel,IR,Infrastructure,2022-06-03 06:08:00,Bern,8,clear,2022
Lausanne-Brig,IR,Connection wait,2022-06-03 08:21:00,Brig,2,clear,2022
St. Gallen-Zürich,IR,Rolling stock,2022-06-03 09:11:00,Zürich HB,11,clear,2022
St. Gallen-Zürich,IR,Connection wait,2022-06-03 13:21:00,Winterthur,6,clear,2022
Zürich-Bern,IC,Connection wait,2022-06-04 07:47:00,Bern,3,fog,2022
Zürich-Chur,IC,Operations,2022-06-05 19:57:00,Sargans,15,snow,2022
S5 Bern,S,Connection wait,2022-06-07 08:41:00,Bern,3,clear,2022
S5 Bern,S,External,2022-06-08 19:20:00,Bern,6,snow,2022
Zürich-Bern,IC,Rolling stock,2022-06-09 16:11:00,Zürich HB,7,clear,2022
Zürich-Luzern,IC,Rolling stock,2022-06-11 06:21:00,Zürich HB,2,fog,2022
S6 Basel,S,Operations,2022-06-11 14:19:00,Pratteln,2,rain,2022
Bern-Belp,RE,Operations,2022-06-12 18:08:00,Bern,9,rain,2022
Genève-Lausanne,IC,Rolling stock,2022-06-14 00:47:00,Nyon,17,clear,2022
Bern-Brig,IC,Infrastructure,2022-06-14 13:37:00,Spiez,3,clear,2022
Zürich-Schaffhausen,IR,Infrastructure,2022-06-15 06:38:00,Bülach,9,rain,2022
St. Gallen-Zürich,IR,Connection wait,2022-06-15 19:30:00,Zürich HB,2,clear,2022
Zürich-Luzern,IC,Operations,2022-06-15 21:50:00,Zug,7,clear,2022
Zürich-Chur,IC,Infrastructure,2022-06-16 09:26:00,Sargans,25,clear,2022
Zürich-Luzern,IC,Rolling stock,2022-06-16 11:10:00,Luzern,5,rain,2022
S1 Lausanne,S,Connection wait,2022-06-16 14:43:00,Lausanne,19,clear,2022
Olten-Zofingen,RE,External,2022-06-16 16:32:00,Zofingen,11,clear,2022
St. Gallen-Zürich,IR,External,2022-06-17 06:03:00,Winterthur,19,clear,2022
Zürich-Schaffhausen,IR,Connection wait,2022-06-17 10:25:00,Bülach,18,fog,2022
Lugano-Locarno,RE,Connection wait,2022-06-17 20:29:00,Lugano,3,rain,2022
S5 Bern,S,Operations,2022-06-17 21:01:00,Burgdorf,10,clear,2022
Bern-Biel,IR,Rolling stock,2022-06-17 23:16:00,Biel/Bienne,33,snow,2022
Lausanne-Brig,IR,Infrastructure,2022-06-19 17:55:00,Sion,19,clear,2022
S5 Bern,S,Rolling stock,2022-06-19 19:28:00,Burgdorf,2,rain,2022
Zürich-Luzern,IC,Infrastructure,2022-06-21 09:00:00,Zug,26,clear,2022
Lausanne-Brig,IR,Infrastructure,2022-06-21 23:39:00,Lausanne,2,fog,2022
Basel-Lausanne,IC,Infrastructure,2022-06-22 17:08:00,Bern,16,rain,2022
Genève-Lausanne,IC,Infrastructure,2022-06-23 11:57:00,Nyon,4,rain,2022
Zürich-Luzern,IC,Infrastructure,2022-06-23 15:28:00,Luzern,17,clear,2022
Zürich-Schaffhausen,IR,Infrastructure,2022-06-23 16:42:00,Zürich HB,18,clear,2022
S2 Zürich,S,Infrastructure,2022-06-23 16:56:00,Effretikon,9,fog,2022
S1 Lausanne,S,Infrastructure,2022-06-23 23:26:00,Lausanne,37,clear,2022
Bern-Biel,IR,Boarding,2022-06-24 08:58:00,Bern,6,rain,2022
Bern-Belp,RE,Boarding,2022-06-25 06:09:00,Bern,2,clear,2022
Zürich-Genève,IC,Operations,2022-06-25 10:13:00,Zürich HB,2,clear,2022
Lausanne-Brig,IR,Infrastructure,2022-06-25 20:32:00,Sion,31,clear,2022
Basel-Olten,IC,Connection wait,2022-06-29 07:35:00,Liestal,2,clear,2022
S1 Lausanne,S,Connection wait,2022-06-30 08:54:00,Yverdon,6,rain,2022
Lausanne-Brig,IR,Boarding,2022-06-30 17:35:00,Sion,6,fog,2022
Bern-Biel,IR,Infrastructure,2022-06-30 17:53:00,Biel/Bienne,24,clear,2022
S2 Zürich,S,Operations,2022-07-01 07:47:00,Pfäffikon,18,fog,2022
Basel-Olten,IC,Operations,2022-07-01 10:21:00,Basel SBB,9,clear,2022
Zürich-Chur,IC,Operations,2022-07-01 11:06:00,Chur,2,clear,2022
