city,district,size_m2,rooms,year_built,rent_chf,floor,has_balcony,distance_to_station_m
Genf,Champel,73,3.0,1969,2210,4,True,413
Bern,Bümpliz,76,3.0,1965,1950,2,True,539
Bern,Mattenhof,74,2.5,1960,1750,1,False,546
Basel,Bachletten,59,2.0,1975,1560,4,True,781
Basel,Kleinbasel,67,3.0,1987,1870,6,True,303
Genf,Servette,92,3.5,1958,2700,6,True,286
Lugano,Centro,63,2.0,1950,1230,3,True,244
Genf,Plainpalais,66,2.5,1968,1820,5,True,971
Genf,Champel,131,5.0,1984,3390,6,True,844
Basel,Bachletten,68,2.5,1973,1650,5,True,465
Basel,Gundeldingen,97,4.5,1974,2140,4,True,970
Lausanne,Flon,82,3.5,1990,1740,6,False,2500
Bern,Länggasse,81,3.0,1976,1710,6,True,1061
Genf,Plainpalais,64,2.5,1947,1830,3,False,782
Bern,Breitenrain,60,2.5,1970,1420,8,True,195
Genf,Servette,67,2.5,1972,2030,5,False,334
Genf,Carouge,90,3.0,1951,2430,10,False,876
Zürich,Kreis 11,133,5.0,2002,3880,5,True,569
Lugano,Besso,46,1.5,1989,990,1,True,459
Bern,Bümpliz,98,4.0,1929,1790,2,False,519
Zürich,Kreis 6,74,3.0,1980,2610,3,False,442
Genf,Carouge,63,2.0,1986,1960,5,True,530
Basel,Gundeldingen,100,4.0,1947,2050,6,True,646
Zürich,Kreis 6,50,1.5,1965,1540,3,True,480
Genf,Carouge,95,4.0,1951,2400,5,True,561
Genf,Eaux-Vives,67,3.0,1917,1570,7,True,940
Lausanne,Chailly,70,3.0,1996,1950,4,True,409
Basel,Bachletten,56,2.5,2003,1620,9,False,562
Zürich,Kreis 5,61,2.0,1991,2150,5,True,301
Lugano,Cassarate,119,5.0,1994,2180,4,True,287
Lausanne,Sous-Gare,74,3.0,1985,1930,9,True,399
Genf,Carouge,50,1.5,1981,1620,6,False,603
Zürich,Kreis 8,108,4.0,1956,2970,1,True,699
Winterthur,Töss,70,2.5,1974,1760,2,True,426
Winterthur,Wülflingen,73,2.5,2000,1350,2,True,1003
Zürich,Kreis 5,74,3.0,1987,2560,5,True,392
Lugano,Centro,104,4.5,1985,2110,4,True,406
Zürich,Kreis 1,74,3.5,1943,2450,0,False,199
Zürich,Kreis 7,70,3.5,1966,2390,5,True,651
Basel,Gundeldingen,44,2.0,1943,1010,8,False,425
Zürich,Kreis 6,44,2.0,1947,1410,1,False,248
Lugano,Centro,64,2.0,1989,1600,0,True,1057
Lausanne,Chailly,98,4.0,1968,2380,7,True,497
Bern,Bümpliz,95,3.5,1961,2020,4,False,571
Zürich,Kreis 8,86,3.5,1965,2810,10,True,367
Genf,Pâquis,64,2.0,1920,1660,5,False,799
St. Gallen,Riethüsli,109,4.5,1999,2230,4,False,766
Basel,Kleinbasel,94,3.5,1925,2310,7,True,312
Lausanne,Ouchy,56,2.5,1912,1220,5,False,566
Lugano,Molino Nuovo,95,3.5,1956,1680,12,True,880
Basel,Bachletten,95,3.5,1932,2110,3,True,503
Winterthur,Töss,70,3.5,1978,1550,4,True,296
Lugano,Centro,43,1.5,1937,920,5,True,346
Genf,Carouge,79,3.0,1966,2530,5,False,811
Winterthur,Töss,124,5.5,1979,2650,7,True,443
Genf,Eaux-Vives,56,2.0,1919,1580,2,True,518
Zürich,Kreis 6,40,1.5,1959,1200,5,True,857
Zürich,Kreis 4,37,1.0,1960,1420,4,False,490
Zürich,Kreis 11,97,4.0,1985,2690,0,False,426
Zürich,Kreis 11,77,3.0,1979,2540,4,False,533
St. Gallen,Bruggen,76,3.0,1963,1630,3,True,366
Lausanne,Sous-Gare,50,2.5,1951,1520,4,True,836
Basel,Bachletten,71,3.0,1962,1520,7,False,439
Zürich,Kreis 4,114,4.0,1978,3700,9,True,561
Genf,Servette,100,4.5,1986,2860,11,False,257
Genf,Plainpalais,54,2.5,1907,1580,5,True,1221
Zürich,Kreis 7,40,1.5,1979,1530,4,False,648
Basel,Bachletten,122,5.0,1923,2610,6,True,247
Bern,Mattenhof,61,2.5,1975,1570,5,True,425
Lausanne,Chailly,66,2.5,1973,1800,6,True,616
Genf,Plainpalais,104,3.5,2003,3230,5,False,306
Genf,Pâquis,73,3.5,1992,2130,8,False,894
Lugano,Besso,59,2.0,2005,1220,5,False,606
Zürich,Kreis 6,120,4.5,1932,3460,5,False,704
Genf,Pâquis,155,6.5,1932,3580,4,True,342
Lausanne,Ouchy,57,2.0,1928,1430,4,True,388
Lausanne,Sévelin,51,2.0,1919,1190,2,False,388
Bern,Länggasse,63,2.0,1975,1570,3,True,668
Lausanne,Chailly,61,2.5,1973,1660,5,False,747
Genf,Servette,69,3.0,2008,2240,8,False,605
Zürich,Kreis 11,66,2.5,1945,2190,5,True,795
Bern,Länggasse,90,3.5,1992,2070,3,True,905
Zürich,Kreis 6,68,2.5,1965,2200,2,True,580
Bern,Breitenrain,74,3.0,1936,1550,6,True,634
Zürich,Kreis 5,50,2.0,1987,1680,5,True,762
Lausanne,Chailly,71,3.5,1971,1890,3,True,623
Bern,Breitenrain,113,4.5,2003,2380,4,True,454
Genf,Plainpalais,148,6.0,1985,3640,3,True,332
Zürich,Kreis 11,80,2.5,1929,2350,6,True,183
Lausanne,Ouchy,70,3.0,1976,1160,2,False,2500
Zürich,Kreis 5,82,3.5,1964,2600,5,False,159
Bern,Bümpliz,69,2.5,2002,1470,4,False,1184
Basel,St. Johann,49,2.5,1953,1420,7,True,443
Genf,Pâquis,71,3.0,1918,2000,1,True,751
Basel,Altstadt,129,5.5,1981,2940,6,True,654
Lugano,Centro,146,5.5,1993,2120,1,True,740
Zürich,Kreis 8,55,2.0,1905,1230,5,False,513
Winterthur,Oberwinterthur,56,2.0,1998,1240,5,True,347
Genf,Plainpalais,61,2.5,1960,1910,3,True,494
Basel,Altstadt,103,4.0,1991,2150,8,True,562
Zürich,Kreis 5,65,2.5,1990,2350,4,True,338
Basel,Altstadt,84,3.0,2009,2020,1,False,1007
Bern,Kirchenfeld,51,2.0,1953,1200,6,True,635
Lausanne,Sévelin,109,5.0,2003,2680,0,False,1314
Zürich,Kreis 3,83,3.0,1925,2090,4,True,1476
St. Gallen,Riethüsli,76,3.5,2013,1450,5,False,185
Zürich,Kreis 11,73,3.0,2011,2750,3,True,821
Bern,Kirchenfeld,65,3.0,2009,1850,7,True,845
Genf,Carouge,46,2.5,1959,1350,7,False,703
Genf,Servette,180,7.0,1990,4580,1,True,634
Bern,Länggasse,101,3.5,1934,1910,6,True,663
Lugano,Centro,56,2.5,1998,910,2,False,799
Genf,Pâquis,55,2.5,1923,1650,4,True,527
Genf,Eaux-Vives,53,2.0,1985,1860,1,True,1231
Basel,St. Johann,87,3.0,1973,2190,2,False,360
Bern,Mattenhof,72,3.0,2008,1480,3,True,1464
Genf,Pâquis,98,3.5,1964,2830,3,False,1039
Basel,Bachletten,118,5.0,1960,2640,2,False,490
Genf,Plainpalais,72,2.5,1982,2320,5,False,229
Genf,Plainpalais,110,4.5,1977,2940,4,False,446
Lugano,Cassarate,79,3.0,1941,1350,7,False,415
Bern,Breitenrain,71,3.5,2000,1740,3,False,574
Winterthur,Wülflingen,172,7.0,1963,2330,6,True,1173
Zürich,Kreis 1,48,1.5,1984,1570,1,True,864
Winterthur,Oberwinterthur,71,3.0,1999,1510,5,True,679
Genf,Carouge,101,4.5,1982,2950,8,False,362
Zürich,Kreis 3,41,1.5,1958,1450,4,False,130
Zürich,Kreis 4,88,3.5,1941,2360,2,False,411
Zürich,Kreis 7,105,4.0,1996,3440,1,False,409
Genf,Pâquis,76,3.5,1968,2110,7,False,586
Bern,Breitenrain,50,1.5,1973,1220,8,False,506
Zürich,Kreis 3,55,2.0,1966,1660,3,False,422
Basel,Altstadt,79,2.5,1973,1870,6,True,336
Basel,Bachletten,137,6.0,1961,2100,2,False,1430
Lugano,Besso,103,4.5,2004,1850,3,True,1391
Basel,Altstadt,136,5.5,1980,3000,10,True,644
Lausanne,Sous-Gare,86,3.0,1945,2130,8,False,508
St. Gallen,St. Fiden,54,2.5,1911,960,9,False,485
Winterthur,Wülflingen,83,3.5,1914,1750,5,False,492
Zürich,Kreis 4,151,6.0,1996,3930,7,False,554
Zürich,Kreis 4,86,3.5,1972,2540,1,True,671
Zürich,Kreis 8,78,3.0,1946,2080,9,True,1034
Genf,Champel,79,3.0,1977,2680,6,True,751
Lausanne,Chailly,57,2.5,1988,1630,8,False,623
Bern,Mattenhof,85,3.5,1940,2040,3,True,812
St. Gallen,Centrum,49,2.5,1931,940,3,True,998
Winterthur,Töss,113,4.5,1958,2020,9,True,1366
Genf,Pâquis,84,3.0,1932,2150,10,True,811
Basel,Kleinbasel,46,1.5,1964,1040,3,True,848
Lausanne,Sous-Gare,53,1.5,2008,1510,2,True,329
St. Gallen,Bruggen,73,3.5,1958,1610,3,True,759
Lausanne,Sous-Gare,60,2.5,1956,1640,5,True,737
Genf,Pâquis,50,2.5,1965,1510,4,True,272
Genf,Eaux-Vives,77,3.0,1923,1660,3,True,1005
Basel,St. Johann,75,3.0,1934,1720,2,True,335
Genf,Eaux-Vives,89,3.5,1937,2000,7,False,803
Basel,Bachletten,65,2.5,1971,1470,4,True,444
Bern,Länggasse,102,4.5,1938,1970,3,True,744
Genf,Pâquis,82,3.0,1986,2520,2,True,576
Zürich,Kreis 4,96,4.0,1939,2600,9,False,384
Zürich,Kreis 3,86,4.0,2008,2750,3,False,461
Genf,Plainpalais,83,3.0,1980,2120,5,False,1247
Basel,St. Johann,59,2.0,1971,1440,1,True,575
Lausanne,Sévelin,60,2.0,1952,1610,3,True,350
Zürich,Kreis 4,81,3.5,1968,2690,6,False,488
Genf,Eaux-Vives,70,3.0,1967,2160,5,True,755
Lugano,Centro,67,2.5,1924,1360,3,False,600
Lugano,Cassarate,126,5.5,2007,2710,5,True,704
Basel,St. Johann,57,2.5,1974,1480,2,True,500
Basel,Altstadt,77,3.0,1952,1660,8,False,2003
Basel,Gundeldingen,51,2.5,1990,1210,5,True,1184
Lugano,Molino Nuovo,106,4.0,1958,2300,4,True,644
Lausanne,Flon,47,2.0,1925,1190,4,False,301
Lausanne,Ouchy,55,2.5,2012,1590,9,False,1141
Zürich,Kreis 5,59,2.0,1933,1800,2,False,489
St. Gallen,Bruggen,65,2.5,1968,1450,9,True,348
Genf,Pâquis,104,4.0,1967,3070,7,True,365
Lausanne,Chailly,56,2.0,1954,1430,3,True,477
Lugano,Molino Nuovo,49,2.0,1932,1100,9,False,423
Zürich,Kreis 4,71,3.0,1951,1930,7,False,307
Genf,Pâquis,126,5.0,2010,3090,7,False,1196
Zürich,Kreis 5,132,5.0,1945,3090,8,True,578
Zürich,Kreis 11,41,1.0,1952,1500,4,True,292
Lugano,Centro,84,4.0,2002,1980,12,True,465
Basel,Bachletten,85,3.0,2010,2210,2,True,1364
Bern,Mattenhof,78,3.0,1928,1660,1,False,298
Basel,Altstadt,126,4.5,1970,2430,3,False,464
Lugano,Besso,51,2.0,1967,980,7,False,983
Zürich,Kreis 1,144,6.0,1998,3950,1,False,434
Lausanne,Chailly,79,3.5,1971,2210,4,True,556
Bern,Bümpliz,71,2.5,1946,1440,12,False,452
Lugano,Centro,89,3.0,1925,1750,6,True,1268
Lugano,Molino Nuovo,42,1.5,1943,890,6,False,740
Zürich,Kreis 6,87,3.5,1982,2870,1,False,893
Genf,Champel,70,2.5,1902,1810,7,False,669
St. Gallen,Bruggen,85,3.5,1966,1570,1,False,843
Genf,Champel,81,3.0,1988,2140,7,False,1573
Lausanne,Chailly,124,5.5,1968,2650,4,True,654
Basel,Gundeldingen,82,3.0,1988,2040,2,False,567
Lausanne,Sévelin,37,1.5,1973,1040,2,False,779
Zürich,Kreis 7,112,4.5,2017,3560,5,True,1471
St. Gallen,Riethüsli,113,4.5,1950,1850,4,True,172
Bern,Mattenhof,57,2.0,1999,1170,1,False,740
Genf,Champel,56,2.0,1956,1760,3,False,417
Bern,Mattenhof,92,3.5,1983,1930,3,True,774
Lausanne,Sous-Gare,94,3.5,1987,2730,5,True,493
Bern,Länggasse,111,4.5,2001,2360,5,False,764
Winterthur,Altstadt,113,4.5,1996,2370,5,True,472
Zürich,Kreis 6,68,2.5,2011,2590,8,True,355
Basel,Gundeldingen,46,1.5,1946,1320,3,False,435
Lausanne,Flon,101,3.5,1970,1810,7,False,403
St. Gallen,Riethüsli,34,1.5,1977,670,3,False,522
Bern,Länggasse,69,3.0,1967,1500,2,True,960
St. Gallen,Bruggen,57,2.0,2009,1450,6,True,781
Genf,Carouge,119,4.5,1963,2870,7,False,534
Genf,Servette,67,3.0,1990,2080,8,True,664
Zürich,Kreis 6,139,5.5,1955,3410,8,False,1974
Zürich,Kreis 3,83,4.0,1976,2430,2,True,261
Genf,Servette,45,2.0,1987,1620,4,True,278
Genf,Plainpalais,58,2.0,1971,1830,8,True,496
Lausanne,Chailly,48,2.0,2015,1520,2,False,487
Zürich,Kreis 1,90,4.0,1984,3080,1,True,822
Genf,Carouge,73,2.5,2003,2220,5,True,399
Zürich,Kreis 4,72,3.0,2009,2520,8,False,352
Zürich,Kreis 11,74,2.5,1942,2080,3,True,942
Bern,Mattenhof,107,4.0,1970,2220,5,True,334
St. Gallen,Centrum,69,3.0,1949,1490,7,True,1492
Zürich,Kreis 5,92,4.0,1920,2280,2,False,356
Basel,Bachletten,166,7.0,1984,2620,4,True,358
St. Gallen,Riethüsli,85,3.5,1943,1560,5,False,611
Bern,Länggasse,87,3.5,1967,1520,2,False,1820
Genf,Eaux-Vives,136,5.5,1977,3960,3,True,166
Basel,St. Johann,66,2.5,2004,1790,4,False,395
Genf,Eaux-Vives,78,2.5,2006,2620,2,True,359
Zürich,Kreis 3,69,3.0,1962,2290,2,True,461
Winterthur,Oberwinterthur,42,1.5,1973,1150,8,True,453
Basel,Bachletten,74,3.0,1918,1360,4,True,291
Basel,Kleinbasel,136,5.0,2000,3320,7,False,413
Genf,Servette,111,4.5,1966,3040,3,False,1119
Zürich,Kreis 7,68,3.0,1974,2180,7,True,479
Lugano,Besso,91,4.0,1977,1550,1,False,1180
Zürich,Kreis 8,65,3.0,1957,2030,6,True,248
Zürich,Kreis 11,96,4.0,1965,2870,2,False,549
Basel,Altstadt,63,2.5,2013,1700,2,True,519
Zürich,Kreis 6,97,3.5,2009,2850,6,False,508
Genf,Eaux-Vives,61,2.5,1920,1630,3,False,362
Genf,Eaux-Vives,59,2.5,2014,1800,10,False,529
Lausanne,Sous-Gare,56,2.5,1984,1520,6,False,683
Winterthur,Altstadt,65,3.0,1978,1560,10,True,481
Zürich,Kreis 11,48,1.5,1985,1880,7,True,227
Genf,Servette,54,2.5,1974,1660,10,True,1624
Bern,Kirchenfeld,49,2.0,1959,1240,9,True,326
Basel,Gundeldingen,153,5.5,1946,2670,6,False,496
Zürich,Kreis 7,38,2.0,1958,1350,6,False,352
Genf,Pâquis,46,1.5,1930,1460,4,False,691
St. Gallen,Centrum,74,2.5,1935,1430,1,True,1173
Winterthur,Altstadt,67,3.0,2010,1520,9,True,561
Lausanne,Sévelin,60,2.0,1990,1590,4,False,406
Lausanne,Sévelin,68,2.5,1991,1600,4,True,1788
St. Gallen,Riethüsli,74,2.5,1948,1440,4,False,554
Genf,Pâquis,67,3.0,1983,2370,5,False,566
Zürich,Kreis 6,72,3.0,2011,2720,4,True,1114
Zürich,Kreis 1,59,2.5,2018,2200,2,False,460
St. Gallen,Bruggen,123,5.0,2018,2770,5,False,829
Lausanne,Sévelin,141,5.0,1924,2450,7,False,348
Zürich,Kreis 11,67,3.0,1969,2220,7,False,779
Genf,Eaux-Vives,54,2.5,1961,1820,5,False,329
Basel,Altstadt,84,3.5,1996,2290,4,False,539
Genf,Plainpalais,88,4.0,1964,2280,5,False,269
Bern,Mattenhof,121,5.0,2018,1970,3,False,572
St. Gallen,Bruggen,85,3.0,1991,1610,5,False,1239
Basel,St. Johann,48,1.5,2003,1370,8,False,440
Zürich,Kreis 1,121,4.5,1958,3520,0,True,827
Bern,Kirchenfeld,103,4.5,1958,1760,6,True,778
Winterthur,Oberwinterthur,73,2.5,2000,1790,5,True,635
Lugano,Centro,84,3.5,1936,1390,5,False,724
Zürich,Kreis 4,73,2.5,2022,2700,3,False,267
St. Gallen,Riethüsli,97,4.0,1977,1170,4,False,620
Genf,Pâquis,159,6.5,1970,4270,3,False,392
St. Gallen,St. Fiden,76,3.0,1999,1510,4,False,989
Winterthur,Altstadt,67,3.0,1975,1620,4,True,469
Zürich,Kreis 11,67,2.5,1974,2230,5,False,396
Lausanne,Chailly,80,3.5,1943,1860,2,True,355
Genf,Plainpalais,55,2.0,1942,1550,4,False,512
Lugano,Besso,115,4.5,1981,2060,5,True,259
Genf,Eaux-Vives,88,3.5,1993,2800,7,True,666
Basel,Altstadt,78,2.5,1937,1260,3,False,1963
Bern,Kirchenfeld,78,3.0,2008,1690,8,False,919
Zürich,Kreis 1,112,4.5,1982,3210,7,True,459
Lausanne,Sévelin,67,2.5,1976,1810,8,False,746
Lugano,Centro,66,2.5,1962,1250,4,False,880
Genf,Carouge,69,3.0,2002,2340,3,False,241
Zürich,Kreis 4,67,2.5,1992,2120,2,False,592
Basel,Gundeldingen,96,4.0,1941,2020,3,True,559
St. Gallen,Bruggen,67,3.0,1959,1490,5,True,900
St. Gallen,St. Fiden,66,2.5,1985,1320,3,True,744
Basel,Altstadt,86,3.5,1963,2350,7,True,600
Bern,Bümpliz,70,2.5,1990,1410,4,True,1498
Zürich,Kreis 3,63,3.0,2007,2170,4,False,485
Basel,Altstadt,66,3.0,1921,1630,7,True,348
Winterthur,Altstadt,87,3.5,1968,2050,1,True,376
Lugano,Besso,85,3.5,1935,1760,3,True,322
Zürich,Kreis 5,79,3.0,1940,2310,10,True,389
Basel,Gundeldingen,55,2.0,1964,1110,2,False,849
Genf,Champel,74,3.5,1937,1840,3,False,758
Lugano,Molino Nuovo,87,4.0,2001,1950,8,True,329
Bern,Bümpliz,68,3.0,1956,1600,4,False,464
Genf,Carouge,59,3.0,1918,1630,4,False,624
Genf,Champel,72,3.0,2011,2170,1,True,992
Lausanne,Sous-Gare,58,2.0,1975,1730,4,True,1297
Zürich,Kreis 8,133,5.0,1976,3910,9,True,243
Zürich,Kreis 7,73,3.0,1936,2120,4,True,357
Winterthur,Oberwinterthur,66,2.5,1959,1220,9,False,409
Winterthur,Oberwinterthur,75,3.5,1959,1230,2,False,289
St. Gallen,St. Fiden,55,2.5,2007,1350,8,False,386
Genf,Pâquis,89,3.0,1974,2630,2,True,1384
Bern,Mattenhof,85,3.0,1958,2450,5,True,314
Genf,Pâquis,75,3.0,2004,2170,5,False,269
Zürich,Kreis 5,54,2.5,1965,1620,1,False,1011
Genf,Plainpalais,101,3.5,1983,2710,8,True,346
Zürich,Kreis 3,55,2.5,1994,1870,5,False,494
Zürich,Kreis 5,76,3.5,1983,2300,5,True,629
Winterthur,Töss,96,3.5,1972,1350,11,False,1084
Genf,Champel,111,4.0,1975,2940,8,False,476
Lausanne,Flon,103,4.5,1987,2830,6,True,282
Genf,Pâquis,131,5.5,1916,2920,3,False,963
Basel,Bachletten,122,5.0,1987,2890,9,True,737
Lausanne,Sévelin,129,5.5,1956,2960,3,True,671
Winterthur,Oberwinterthur,90,4.0,1957,1490,5,False,960
Lugano,Centro,92,4.0,1997,1800,7,False,130
Lausanne,Ouchy,61,2.0,1911,1520,6,True,431
Zürich,Kreis 4,61,2.0,1965,1930,7,True,871
Zürich,Kreis 4,55,2.0,1935,1510,5,False,1304
Genf,Eaux-Vives,155,6.0,1933,3580,10,True,459
St. Gallen,Riethüsli,63,2.0,1987,1450,6,True,192
Winterthur,Altstadt,77,3.0,1971,1350,4,False,1488
Genf,Plainpalais,40,2.0,2010,1570,4,False,746
Bern,Bümpliz,94,4.0,1995,2310,11,True,855
Lugano,Besso,75,3.0,1973,1580,1,False,253
Genf,Servette,102,4.5,1956,2680,5,True,590
Winterthur,Altstadt,87,3.5,1984,2180,5,True,193
St. Gallen,Bruggen,116,5.0,1978,2810,5,True,234
Basel,Altstadt,56,2.5,1967,1330,5,True,923
Genf,Pâquis,50,2.5,1980,1550,5,False,789
Lugano,Centro,60,2.5,1997,1390,5,False,652
Lausanne,Sous-Gare,117,4.5,1975,2870,4,True,387
Zürich,Kreis 5,88,3.5,1969,2270,2,False,565
Genf,Plainpalais,89,4.0,1985,2660,1,False,782
Genf,Servette,76,3.0,2014,2260,3,False,1325
Lugano,Centro,116,4.5,2009,2230,3,True,238
St. Gallen,Bruggen,64,3.0,1922,1770,9,True,418
Genf,Champel,117,4.5,1926,2490,9,True,300
Basel,Bachletten,42,1.5,1970,1060,3,True,770
Bern,Länggasse,89,4.0,1953,1850,10,False,432
Lausanne,Chailly,38,2.0,1974,1030,4,False,373
Basel,Gundeldingen,77,3.0,1990,2020,5,False,511
Bern,Mattenhof,58,2.5,1968,1280,3,True,511
Zürich,Kreis 8,119,4.5,1976,3310,1,False,422
Bern,Bümpliz,72,2.5,1938,1500,8,True,270
Zürich,Kreis 3,74,3.0,2002,2520,6,False,368
Genf,Champel,54,2.0,1926,1820,9,True,151
Winterthur,Wülflingen,118,4.5,1972,2420,5,True,363
Zürich,Kreis 3,83,3.5,1985,2490,5,True,1409
Bern,Kirchenfeld,51,2.0,1956,1200,2,True,826
St. Gallen,St. Fiden,71,3.5,1976,850,11,True,1198
Zürich,Kreis 7,67,3.0,1994,2030,6,True,726
Winterthur,Töss,71,2.5,1933,1220,7,True,956
Lausanne,Sous-Gare,89,4.0,2019,2280,10,True,996
Bern,Bümpliz,56,2.0,1971,1380,4,True,2247
Lugano,Molino Nuovo,53,2.0,1983,1220,5,True,621
Genf,Eaux-Vives,76,3.0,1980,2410,3,True,421
Lausanne,Flon,68,2.5,2002,1840,11,True,753
Bern,Breitenrain,35,1.5,2001,890,3,True,876
Basel,St. Johann,95,3.5,1981,2370,5,True,1113
Bern,Mattenhof,84,3.0,1916,1640,8,True,909
Winterthur,Altstadt,85,3.5,1982,1720,11,False,1286
