month,product,region,revenue_chf,new_customers,churned_customers,active_customers
2023-06,Vault,APAC,198000,3,2,66
2023-06,Vault,Amerika,288000,4,3,96
2023-06,Vault,Europa,487000,8,3,162
2023-07,Atlas,APAC,121000,2,1,40
2023-07,Atlas,Amerika,249000,6,2,83
2023-07,Atlas,Europa,223000,4,1,74
2023-07,Beacon,APAC,124000,3,2,41
2023-07,Beacon,Amerika,155000,4,2,52
2023-07,Beacon,Europa,239000,3,3,80
2023-07,Edge,APAC,233000,5,2,78
2023-07,Edge,Amerika,441000,12,3,147
2023-07,Edge,Europa,423000,10,4,141
2023-07,Forge,APAC,72000,2,1,24
2023-07,Forge,Amerika,91000,2,1,30
2023-07,Forge,Europa,113000,3,1,38
2023-07,Pulse,APAC,38000,1,1,20
2023-07,Pulse,Amerika,45000,1,1,20
2023-07,Pulse,Europa,100000,2,1,33
2023-07,Vault,APAC,170000,4,1,57
2023-07,Vault,Amerika,255000,5,2,85
2023-07,Vault,Europa,423000,8,4,141
2023-08,Atlas,APAC,114000,2,1,38
2023-08,Atlas,Amerika,247000,5,2,82
2023-08,Atlas,Europa,205000,5,2,68
2023-08,Beacon,APAC,120000,3,1,40
2023-08,Beacon,Amerika,164000,3,3,55
2023-08,Beacon,Europa,239000,5,3,80
2023-08,Edge,APAC,224000,5,2,75
2023-08,Edge,Amerika,434000,9,3,145
2023-08,Edge,Europa,429000,12,4,143
2023-08,Forge,APAC,64000,1,1,21
2023-08,Forge,Amerika,89000,2,1,30
2023-08,Forge,Europa,112000,3,1,37
2023-08,Pulse,APAC,38000,1,1,20
2023-08,Pulse,Amerika,49000,1,1,20
2023-08,Pulse,Europa,103000,2,1,34
2023-08,Vault,APAC,168000,3,1,56
2023-08,Vault,Amerika,275000,5,2,92
2023-08,Vault,Europa,411000,9,4,137
2023-09,Atlas,APAC,140000,2,2,47
2023-09,Atlas,Amerika,273000,4,2,91
2023-09,Atlas,Europa,216000,6,2,72
2023-09,Beacon,APAC,137000,3,2,46
2023-09,Beacon,Amerika,168000,3,3,56
2023-09,Beacon,Europa,252000,6,3,84
2023-09,Edge,APAC,257000,5,2,86
2023-09,Edge,Amerika,524000,15,5,175
2023-09,Edge,Europa,515000,11,4,172
2023-09,Forge,APAC,78000,1,1,26
2023-09,Forge,Amerika,112000,2,1,37
2023-09,Forge,Europa,120000,2,1,40
2023-09,Pulse,APAC,43000,1,1,20
2023-09,Pulse,Amerika,53000,1,1,20
2023-09,Pulse,Europa,118000,2,2,39
2023-09,Vault,APAC,186000,4,2,62
2023-09,Vault,Amerika,313000,5,3,104
2023-09,Vault,Europa,495000,12,3,165
2023-10,Atlas,APAC,138000,3,1,46
2023-10,Atlas,Amerika,318000,6,2,106
2023-10,Atlas,Europa,238000,4,2,79
2023-10,Beacon,APAC,135000,2,2,45
2023-10,Beacon,Amerika,179000,3,2,60
2023-10,Beacon,Europa,253000,6,3,84
2023-10,Edge,APAC,239000,5,2,80
2023-10,Edge,Amerika,501000,11,4,167
2023-10,Edge,Europa,491000,8,3,164
2023-10,Forge,APAC,75000,1,1,25
2023-10,Forge,Amerika,110000,2,1,37
2023-10,Forge,Europa,136000,3,1,45
2023-10,Pulse,APAC,45000,1,1,20
2023-10,Pulse,Amerika,59000,2,1,20
2023-10,Pulse,Europa,122000,2,2,41
2023-10,Vault,APAC,185000,3,2,62
2023-10,Vault,Amerika,283000,6,2,94
2023-10,Vault,Europa,513000,12,5,171
2023-11,Atlas,APAC,133000,3,1,44
2023-11,Atlas,Amerika,276000,6,2,92
2023-11,Atlas,Europa,221000,5,2,74
2023-11,Beacon,APAC,135000,2,2,45
2023-11,Beacon,Amerika,178000,3,2,59
2023-11,Beacon,Europa,256000,7,4,85
2023-11,Edge,APAC,269000,6,2,90
2023-11,Edge,Amerika,514000,13,4,171
2023-11,Edge,Europa,541000,12,4,180
2023-11,Forge,APAC,78000,2,1,26
2023-11,Forge,Amerika,113000,3,1,38
2023-11,Forge,Europa,123000,3,1,41
2023-11,Pulse,APAC,47000,1,1,20
2023-11,Pulse,Amerika,50000,1,1,20
2023-11,Pulse,Europa,120000,3,2,40
2023-11,Vault,APAC,207000,4,2,69
2023-11,Vault,Amerika,298000,4,2,99
2023-11,Vault,Europa,464000,7,4,155
2023-12,Atlas,APAC,136000,3,1,45
2023-12,Atlas,Amerika,312000,6,2,104
2023-12,Atlas,Europa,222000,5,2,74
2023-12,Beacon,APAC,161000,4,3,54
2023-12,Beacon,Amerika,178000,3,3,59
2023-12,Beacon,Europa,262000,4,3,87
2023-12,Edge,APAC,264000,8,2,88
2023-12,Edge,Amerika,554000,14,4,185
2023-12,Edge,Europa,556000,13,6,185
2023-12,Forge,APAC,83000,2,1,28
2023-12,Forge,Amerika,107000,3,1,36
2023-12,Forge,Europa,140000,4,1,47
2023-12,Pulse,APAC,46000,1,1,20
2023-12,Pulse,Amerika,59000,1,1,20
2023-12,Pulse,Europa,123000,3,2,41
2023-12,Vault,APAC,199000,4,2,66
2023-12,Vault,Amerika,327000,5,2,109
2023-12,Vault,Europa,524000,9,5,175
2024-01,Atlas,APAC,134000,3,1,45
2024-01,Atlas,Amerika,282000,5,3,94
2024-01,Atlas,Europa,228000,6,2,76
2024-01,Beacon,APAC,109000,3,1,36
2024-01,Beacon,Amerika,127000,3,2,42
2024-01,Beacon,Europa,206000,5,2,69
2024-01,Edge,APAC,280000,7,3,93
2024-01,Edge,Amerika,609000,15,4,203
2024-01,Edge,Europa,567000,11,6,189
2024-01,Forge,APAC,76000,2,1,25
2024-01,Forge,Amerika,106000,3,1,35
2024-01,Forge,Europa,115000,3,1,38
2024-01,Pulse,APAC,32000,1,1,20
2024-01,Pulse,Amerika,35000,1,1,20
2024-01,Pulse,Europa,76000,1,1,25
2024-01,Vault,APAC,186000,3,1,62
2024-01,Vault,Amerika,288000,5,3,96
2024-01,Vault,Europa,460000,10,4,153
2024-02,Atlas,APAC,134000,4,1,45
2024-02,Atlas,Amerika,331000,9,3,110
2024-02,Atlas,Europa,248000,7,2,83
2024-02,Beacon,APAC,106000,2,1,35
2024-02,Beacon,Amerika,132000,3,2,44
2024-02,Beacon,Europa,207000,5,3,69
2024-02,Edge,APAC,309000,7,2,103
2024-02,Edge,Amerika,570000,15,4,190
2024-02,Edge,Europa,557000,15,5,186
2024-02,Forge,APAC,70000,1,1,23
2024-02,Forge,Amerika,111000,3,1,37
2024-02,Forge,Europa,126000,3,1,42
2024-02,Pulse,APAC,29000,1,1,20
2024-02,Pulse,Amerika,37000,1,1,20
2024-02,Pulse,Europa,85000,1,1,28
2024-02,Vault,APAC,173000,4,2,58
2024-02,Vault,Amerika,268000,4,2,89
2024-02,Vault,Europa,460000,9,3,153
2024-03,Atlas,APAC,151000,3,1,50
2024-03,Atlas,Amerika,347000,8,3,116
2024-03,Atlas,Europa,241000,6,2,80
2024-03,Beacon,APAC,111000,2,2,37
2024-03,Beacon,Amerika,149000,4,2,50
2024-03,Beacon,Europa,192000,4,2,64
2024-03,Edge,APAC,313000,5,2,104
2024-03,Edge,Amerika,625000,18,4,208
2024-03,Edge,Europa,680000,19,6,227
2024-03,Forge,APAC,83000,2,1,28
2024-03,Forge,Amerika,107000,2,1,36
2024-03,Forge,Europa,137000,2,1,46
2024-03,Pulse,APAC,32000,1,1,20
2024-03,Pulse,Amerika,41000,1,1,20
2024-03,Pulse,Europa,86000,2,1,29
2024-03,Vault,APAC,180000,3,1,60
2024-03,Vault,Amerika,290000,8,3,97
2024-03,Vault,Europa,472000,10,3,157
2024-04,Atlas,APAC,156000,4,1,52
2024-04,Atlas,Amerika,348000,10,3,116
2024-04,Atlas,Europa,256000,4,2,85
2024-04,Beacon,APAC,126000,3,2,42
2024-04,Beacon,Amerika,132000,3,2,44
2024-04,Beacon,Europa,203000,4,3,68
2024-04,Edge,APAC,318000,9,3,106
2024-04,Edge,Amerika,641000,18,7,214
2024-04,Edge,Europa,593000,10,5,198
2024-04,Forge,APAC,78000,2,1,26
2024-04,Forge,Amerika,119000,2,1,40
2024-04,Forge,Europa,137000,2,1,46
2024-04,Pulse,APAC,33000,1,1,20
2024-04,Pulse,Amerika,41000,1,1,20
2024-04,Pulse,Europa,93000,2,1,31
2024-04,Vault,APAC,194000,4,2,65
2024-04,Vault,Amerika,275000,6,2,92
2024-04,Vault,Europa,466000,7,4,155
2024-05,Atlas,APAC,159000,3,1,53
2024-05,Atlas,Amerika,344000,8,3,115
2024-05,Atlas,Europa,266000,5,3,89
2024-05,Beacon,APAC,121000,2,1,40
2024-05,Beacon,Amerika,152000,3,2,51
2024-05,Beacon,Europa,228000,4,2,76
2024-05,Edge,APAC,321000,9,2,107
2024-05,Edge,Amerika,681000,16,7,227
2024-05,Edge,Europa,684000,12,5,228
2024-05,Forge,APAC,79000,1,1,26
2024-05,Forge,Amerika,125000,2,1,42
2024-05,Forge,Europa,130000,3,1,43
2024-05,Pulse,APAC,35000,1,1,20
2024-05,Pulse,Amerika,39000,1,1,20
2024-05,Pulse,Europa,93000,2,1,31
2024-05,Vault,APAC,195000,4,2,65
2024-05,Vault,Amerika,282000,7,2,94
2024-05,Vault,Europa,536000,13,3,179
2024-06,Atlas,APAC,165000,5,2,55
2024-06,Atlas,Amerika,348000,5,3,116
2024-06,Atlas,Europa,255000,5,2,85
2024-06,Beacon,APAC,129000,3,1,43
2024-06,Beacon,Amerika,138000,3,1,46
2024-06,Beacon,Europa,206000,4,2,69
2024-06,Edge,APAC,317000,6,3,106
2024-06,Edge,Amerika,635000,18,5,212
2024-06,Edge,Europa,617000,12,4,206
2024-06,Forge,APAC,83000,2,1,28
2024-06,Forge,Amerika,125000,2,1,42
2024-06,Forge,Europa,128000,2,1,43
2024-06,Pulse,APAC,33000,1,1,20
2024-06,Pulse,Amerika,40000,1,1,20
2024-06,Pulse,Europa,92000,2,1,31
2024-06,Vault,APAC,211000,5,2,70
2024-06,Vault,Amerika,304000,5,3,101
2024-06,Vault,Europa,496000,11,3,165
2024-07,Atlas,APAC,142000,3,2,47
2024-07,Atlas,Amerika,319000,5,2,106
2024-07,Atlas,Europa,265000,7,2,88
2024-07,Beacon,APAC,114000,3,2,38
2024-07,Beacon,Amerika,146000,3,2,49
2024-07,Beacon,Europa,217000,5,3,72
2024-07,Edge,APAC,332000,7,3,111
2024-07,Edge,Amerika,641000,15,5,214
2024-07,Edge,Europa,608000,14,4,203
2024-07,Forge,APAC,82000,2,1,27
2024-07,Forge,Amerika,111000,3,1,37
2024-07,Forge,Europa,121000,2,1,40
2024-07,Pulse,APAC,31000,1,1,20
2024-07,Pulse,Amerika,38000,1,1,20
2024-07,Pulse,Europa,92000,1,1,31
2024-07,Vault,APAC,198000,5,1,66
2024-07,Vault,Amerika,274000,7,2,91
2024-07,Vault,Europa,502000,9,4,167
2024-08,Atlas,APAC,133000,3,1,44
2024-08,Atlas,Amerika,324000,9,3,108
2024-08,Atlas,Europa,246000,7,2,82
2024-08,Beacon,APAC,106000,2,1,35
2024-08,Beacon,Amerika,141000,3,1,47
2024-08,Beacon,Europa,192000,4,3,64
2024-08,Edge,APAC,329000,7,3,110
2024-08,Edge,Amerika,633000,15,7,211
2024-08,Edge,Europa,643000,11,4,214
2024-08,Forge,APAC,78000,2,1,26
2024-08,Forge,Amerika,113000,2,1,38
2024-08,Forge,Europa,136000,3,1,45
2024-08,Pulse,APAC,29000,1,1,20
2024-08,Pulse,Amerika,39000,1,1,20
2024-08,Pulse,Europa,84000,1,1,28
2024-08,Vault,APAC,181000,5,1,60
2024-08,Vault,Amerika,269000,7,2,90
2024-08,Vault,Europa,494000,12,3,165
2024-09,Atlas,APAC,172000,4,2,57
2024-09,Atlas,Amerika,381000,7,3,127
2024-09,Atlas,Europa,269000,8,3,90
2024-09,Beacon,APAC,121000,2,2,40
2024-09,Beacon,Amerika,154000,2,3,51
2024-09,Beacon,Europa,211000,4,3,70
2024-09,Edge,APAC,367000,8,2,122
2024-09,Edge,Amerika,709000,15,5,236
2024-09,Edge,Europa,664000,14,6,221
2024-09,Forge,APAC,95000,2,1,32
2024-09,Forge,Amerika,125000,2,1,42
2024-09,Forge,Europa,150000,3,1,50
2024-09,Pulse,APAC,35000,1,1,20
2024-09,Pulse,Amerika,46000,1,1,20
2024-09,Pulse,Europa,97000,2,1,32
2024-09,Vault,APAC,206000,3,2,69
2024-09,Vault,Amerika,330000,6,3,110
2024-09,Vault,Europa,557000,14,6,186
2024-10,Atlas,APAC,173000,4,2,58
2024-10,Atlas,Amerika,402000,10,4,134
2024-10,Atlas,Europa,282000,6,2,94
2024-10,Beacon,APAC,132000,3,2,44
2024-10,Beacon,Amerika,164000,3,2,55
2024-10,Beacon,Europa,222000,6,2,74
2024-10,Edge,APAC,333000,6,3,111
2024-10,Edge,Amerika,759000,16,7,253
2024-10,Edge,Europa,698000,18,7,233
2024-10,Forge,APAC,94000,1,1,31
2024-10,Forge,Amerika,122000,3,1,41
2024-10,Forge,Europa,137000,2,1,46
2024-10,Pulse,APAC,38000,2,1,20
2024-10,Pulse,Amerika,48000,1,1,20
2024-10,Pulse,Europa,99000,2,2,33
2024-10,Vault,APAC,223000,4,2,74
2024-10,Vault,Amerika,316000,7,3,105
2024-10,Vault,Europa,572000,11,4,191
2024-11,Atlas,APAC,157000,2,1,52
2024-11,Atlas,Amerika,357000,8,3,119
2024-11,Atlas,Europa,293000,6,2,98
2024-11,Beacon,APAC,136000,2,2,45
2024-11,Beacon,Amerika,167000,4,3,56
2024-11,Beacon,Europa,218000,5,4,73
2024-11,Edge,APAC,325000,7,3,108
2024-11,Edge,Amerika,727000,21,5,242
2024-11,Edge,Europa,663000,18,6,221
2024-11,Forge,APAC,90000,2,1,30
2024-11,Forge,Amerika,135000,4,1,45
2024-11,Forge,Europa,145000,4,1,48
2024-11,Pulse,APAC,37000,1,1,20
2024-11,Pulse,Amerika,43000,1,1,20
2024-11,Pulse,Europa,106000,2,2,35
2024-11,Vault,APAC,214000,3,2,71
2024-11,Vault,Amerika,324000,8,3,108
2024-11,Vault,Europa,501000,10,4,167
2024-12,Atlas,APAC,185000,4,2,62
2024-12,Atlas,Amerika,367000,6,2,122
2024-12,Atlas,Europa,291000,5,2,97
2024-12,Beacon,APAC,128000,2,2,43
2024-12,Beacon,Amerika,150000,2,2,50
2024-12,Beacon,Europa,253000,5,3,84
2024-12,Edge,APAC,358000,9,3,119
2024-12,Edge,Amerika,754000,14,7,251
2024-12,Edge,Europa,764000,18,6,255
2024-12,Forge,APAC,94000,2,1,31
2024-12,Forge,Amerika,137000,2,1,46
2024-12,Forge,Europa,157000,4,1,52
2024-12,Pulse,APAC,35000,1,1,20
2024-12,Pulse,Amerika,50000,1,1,20
2024-12,Pulse,Europa,112000,2,2,37
2024-12,Vault,APAC,210000,4,2,70
2024-12,Vault,Amerika,324000,7,3,108
2024-12,Vault,Europa,533000,14,5,178
