route,service_type,cause,start_time,station,delay_min,weather,year
Olten-Zofingen,RE,Extern,2022-03-20 20:29:00,Olten,2,Schnee,2022
Zürich-Bern,IC,Rollmaterial,2022-03-21 09:08:00,Olten,2,klar,2022
Zürich-Luzern,IC,Betrieb,2022-03-21 21:28:00,Zug,11,Schnee,2022
Bern-Brig,IC,Infrastruktur,2022-03-22 05:29:00,Brig,21,Schnee,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-03-23 17:28:00,Zürich HB,7,Regen,2022
Zürich-Chur,IC,Betrieb,2022-03-24 09:11:00,Chur,2,klar,2022
Bern-Biel,IR,Rollmaterial,2022-03-24 14:22:00,Biel/Bienne,14,klar,2022
S1 Lausanne,S,Einsteigen,2022-03-24 19:53:00,Yverdon,3,klar,2022
Bern-Belp,RE,Infrastruktur,2022-03-25 20:38:00,Belp,8,Regen,2022
Basel-Lausanne,IC,Extern,2022-03-27 09:56:00,Bern,20,Regen,2022
Zürich-Luzern,IC,Infrastruktur,2022-03-28 15:02:00,Zürich HB,2,Nebel,2022
Zürich-Genève,IC,Anschlusswarten,2022-03-29 22:31:00,Genève,12,Regen,2022
Zürich-Genève,IC,Extern,2022-03-29 23:01:00,Lausanne,2,Regen,2022
Basel-Lausanne,IC,Rollmaterial,2022-03-30 10:57:00,Basel SBB,18,klar,2022
S2 Zürich,S,Infrastruktur,2022-03-30 19:41:00,Effretikon,56,Regen,2022
Basel-Olten,IC,Betrieb,2022-03-31 18:09:00,Liestal,2,klar,2022
S5 Bern,S,Extern,2022-04-01 04:43:00,Burgdorf,19,Schnee,2022
S5 Bern,S,Einsteigen,2022-04-01 07:42:00,Bern,2,klar,2022
Zürich-Bern,IC,Einsteigen,2022-04-01 20:10:00,Zürich HB,2,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-04-02 12:40:00,Zürich HB,6,Schnee,2022
Lausanne-Brig,IR,Betrieb,2022-04-02 22:16:00,Lausanne,4,klar,2022
Bern-Biel,IR,Anschlusswarten,2022-04-03 17:29:00,Lyss,4,klar,2022
Zürich-Bern,IC,Infrastruktur,2022-04-04 16:49:00,Olten,22,klar,2022
Lausanne-Brig,IR,Anschlusswarten,2022-04-05 12:20:00,Lausanne,2,Regen,2022
Basel-Lausanne,IC,Betrieb,2022-04-05 12:43:00,Basel SBB,5,klar,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-04-05 23:37:00,Winterthur,6,klar,2022
Zürich-Chur,IC,Extern,2022-04-06 20:51:00,Chur,22,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-04-06 22:23:00,Zürich HB,21,Schnee,2022
S5 Bern,S,Extern,2022-04-07 05:44:00,Burgdorf,21,Regen,2022
Bern-Biel,IR,Betrieb,2022-04-07 12:03:00,Lyss,10,Regen,2022
Zürich-Luzern,IC,Rollmaterial,2022-04-07 17:03:00,Zug,16,klar,2022
Basel-Olten,IC,Infrastruktur,2022-04-08 08:23:00,Basel SBB,2,Regen,2022
Zürich-Bern,IC,Anschlusswarten,2022-04-08 08:49:00,Bern,2,klar,2022
Lausanne-Brig,IR,Betrieb,2022-04-08 16:05:00,Brig,9,klar,2022
Lausanne-Brig,IR,Einsteigen,2022-04-09 18:01:00,Lausanne,8,Regen,2022
Zürich-Bern,IC,Rollmaterial,2022-04-10 20:10:00,Olten,24,klar,2022
Lugano-Locarno,RE,Extern,2022-04-10 22:31:00,Lugano,2,Regen,2022
Bern-Brig,IC,Infrastruktur,2022-04-11 06:19:00,Bern,8,klar,2022
S6 Basel,S,Extern,2022-04-11 09:03:00,Basel SBB,40,Regen,2022
Lausanne-Brig,IR,Extern,2022-04-11 13:34:00,Sion,5,Regen,2022
Genève-Lausanne,IC,Anschlusswarten,2022-04-11 19:11:00,Nyon,6,klar,2022
Zürich-Luzern,IC,Betrieb,2022-04-12 07:10:00,Luzern,10,klar,2022
Bern-Biel,IR,Anschlusswarten,2022-04-12 12:07:00,Lyss,2,klar,2022
Zürich-Genève,IC,Anschlusswarten,2022-04-12 13:13:00,Bern,5,Schnee,2022
Zürich-Chur,IC,Rollmaterial,2022-04-12 20:45:00,Zürich HB,12,klar,2022
Olten-Zofingen,RE,Infrastruktur,2022-04-13 12:02:00,Olten,36,klar,2022
Zürich-Bern,IC,Einsteigen,2022-04-13 23:24:00,Olten,2,klar,2022
S6 Basel,S,Anschlusswarten,2022-04-14 07:13:00,Pratteln,5,klar,2022
Zürich-Luzern,IC,Betrieb,2022-04-15 07:14:00,Luzern,12,Schnee,2022
Basel-Olten,IC,Extern,2022-04-15 18:32:00,Liestal,2,klar,2022
Olten-Zofingen,RE,Rollmaterial,2022-04-15 23:57:00,Zofingen,22,klar,2022
St. Gallen-Zürich,IR,Betrieb,2022-04-16 06:18:00,Zürich HB,2,klar,2022
S2 Zürich,S,Infrastruktur,2022-04-16 10:27:00,Effretikon,32,klar,2022
S1 Lausanne,S,Einsteigen,2022-04-19 07:59:00,Yverdon,7,Regen,2022
St. Gallen-Zürich,IR,Rollmaterial,2022-04-19 16:13:00,Winterthur,2,klar,2022
Bern-Brig,IC,Rollmaterial,2022-04-21 10:49:00,Bern,2,Regen,2022
Genève-Lausanne,IC,Infrastruktur,2022-04-21 14:31:00,Lausanne,18,klar,2022
Zürich-Chur,IC,Extern,2022-04-21 15:55:00,Zürich HB,95,klar,2022
Bern-Biel,IR,Extern,2022-04-21 18:02:00,Biel/Bienne,6,klar,2022
Zürich-Bern,IC,Rollmaterial,2022-04-22 09:11:00,Olten,2,klar,2022
S6 Basel,S,Einsteigen,2022-04-23 06:30:00,Basel SBB,2,klar,2022
Bern-Belp,RE,Infrastruktur,2022-04-24 07:16:00,Bern,40,klar,2022
Lugano-Locarno,RE,Einsteigen,2022-04-24 07:39:00,Lugano,4,klar,2022
Lausanne-Brig,IR,Rollmaterial,2022-04-24 16:56:00,Brig,3,klar,2022
S2 Zürich,S,Infrastruktur,2022-04-24 17:28:00,Zürich HB,16,klar,2022
S5 Bern,S,Infrastruktur,2022-04-24 17:43:00,Burgdorf,19,klar,2022
S5 Bern,S,Rollmaterial,2022-04-24 21:16:00,Bern,9,klar,2022
Zürich-Luzern,IC,Extern,2022-04-25 12:19:00,Zug,11,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-04-26 23:38:00,Genève,23,Nebel,2022
S1 Lausanne,S,Infrastruktur,2022-04-26 23:48:00,Yverdon,5,klar,2022
Bern-Biel,IR,Betrieb,2022-04-27 07:28:00,Lyss,10,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-04-27 13:44:00,Genève,6,klar,2022
Basel-Olten,IC,Anschlusswarten,2022-04-27 15:19:00,Basel SBB,2,Regen,2022
S5 Bern,S,Extern,2022-04-27 16:02:00,Burgdorf,2,klar,2022
Bern-Biel,IR,Einsteigen,2022-04-28 07:10:00,Lyss,2,klar,2022
Zürich-Schaffhausen,IR,Rollmaterial,2022-04-28 23:06:00,Schaffhausen,2,klar,2022
Lausanne-Brig,IR,Rollmaterial,2022-04-29 06:29:00,Sion,9,Regen,2022
Zürich-Genève,IC,Extern,2022-04-29 17:07:00,Bern,5,Nebel,2022
Olten-Zofingen,RE,Anschlusswarten,2022-04-29 18:29:00,Olten,5,klar,2022
Zürich-Bern,IC,Extern,2022-04-29 20:58:00,Olten,6,klar,2022
Zürich-Luzern,IC,Betrieb,2022-04-30 16:58:00,Zug,11,klar,2022
Basel-Olten,IC,Infrastruktur,2022-04-30 21:51:00,Basel SBB,5,Regen,2022
Basel-Olten,IC,Extern,2022-05-01 13:39:00,Basel SBB,18,Regen,2022
St. Gallen-Zürich,IR,Infrastruktur,2022-05-02 07:58:00,St. Gallen,21,klar,2022
Zürich-Luzern,IC,Rollmaterial,2022-05-02 07:59:00,Zug,9,klar,2022
St. Gallen-Zürich,IR,Betrieb,2022-05-03 09:35:00,Winterthur,11,klar,2022
Bern-Brig,IC,Betrieb,2022-05-03 11:47:00,Brig,7,klar,2022
St. Gallen-Zürich,IR,Anschlusswarten,2022-05-03 17:06:00,Winterthur,3,klar,2022
Zürich-Schaffhausen,IR,Extern,2022-05-03 20:54:00,Bülach,49,klar,2022
Zürich-Luzern,IC,Extern,2022-05-03 21:50:00,Luzern,2,klar,2022
Genève-Lausanne,IC,Infrastruktur,2022-05-04 06:27:00,Lausanne,2,Regen,2022
S1 Lausanne,S,Betrieb,2022-05-04 17:30:00,Yverdon,3,klar,2022
Basel-Olten,IC,Extern,2022-05-05 06:10:00,Olten,5,klar,2022
Olten-Zofingen,RE,Extern,2022-05-05 06:12:00,Olten,19,klar,2022
Lausanne-Brig,IR,Rollmaterial,2022-05-05 13:15:00,Sion,7,klar,2022
Zürich-Schaffhausen,IR,Betrieb,2022-05-05 14:33:00,Zürich HB,9,klar,2022
St. Gallen-Zürich,IR,Rollmaterial,2022-05-05 17:43:00,St. Gallen,11,klar,2022
Zürich-Chur,IC,Betrieb,2022-05-06 08:18:00,Chur,22,Regen,2022
Genève-Lausanne,IC,Einsteigen,2022-05-07 08:07:00,Lausanne,2,Nebel,2022
St. Gallen-Zürich,IR,Betrieb,2022-05-07 18:56:00,Winterthur,21,klar,2022
Lausanne-Brig,IR,Betrieb,2022-05-08 01:34:00,Lausanne,2,klar,2022
Lausanne-Brig,IR,Betrieb,2022-05-08 10:01:00,Lausanne,2,klar,2022
Lausanne-Brig,IR,Anschlusswarten,2022-05-08 12:42:00,Sion,3,klar,2022
S5 Bern,S,Extern,2022-05-09 03:45:00,Bern,7,klar,2022
Olten-Zofingen,RE,Betrieb,2022-05-09 06:00:00,Olten,6,klar,2022
Bern-Biel,IR,Anschlusswarten,2022-05-09 15:44:00,Lyss,10,klar,2022
Bern-Biel,IR,Extern,2022-05-09 17:58:00,Bern,3,klar,2022
S2 Zürich,S,Rollmaterial,2022-05-10 19:54:00,Zürich HB,2,klar,2022
Zürich-Bern,IC,Extern,2022-05-12 12:12:00,Zürich HB,4,Regen,2022
Lausanne-Brig,IR,Einsteigen,2022-05-12 18:23:00,Brig,3,klar,2022
S1 Lausanne,S,Infrastruktur,2022-05-13 20:59:00,Lausanne,5,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-05-14 08:38:00,Zürich HB,2,klar,2022
Bern-Biel,IR,Rollmaterial,2022-05-14 09:03:00,Lyss,2,klar,2022
Bern-Brig,IC,Einsteigen,2022-05-15 07:09:00,Spiez,3,klar,2022
Lausanne-Brig,IR,Einsteigen,2022-05-16 07:19:00,Sion,6,klar,2022
Zürich-Chur,IC,Anschlusswarten,2022-05-16 08:53:00,Sargans,4,Schnee,2022
S2 Zürich,S,Rollmaterial,2022-05-16 16:13:00,Zürich HB,2,klar,2022
Basel-Olten,IC,Anschlusswarten,2022-05-16 18:18:00,Olten,2,Regen,2022
Lausanne-Brig,IR,Infrastruktur,2022-05-16 23:03:00,Lausanne,14,Regen,2022
Genève-Lausanne,IC,Rollmaterial,2022-05-17 06:59:00,Genève,22,klar,2022
Bern-Biel,IR,Infrastruktur,2022-05-17 12:20:00,Biel/Bienne,3,klar,2022
Zürich-Chur,IC,Extern,2022-05-17 12:30:00,Chur,3,klar,2022
S6 Basel,S,Einsteigen,2022-05-17 17:43:00,Basel SBB,3,klar,2022
Bern-Biel,IR,Einsteigen,2022-05-18 08:01:00,Lyss,2,klar,2022
Zürich-Genève,IC,Betrieb,2022-05-18 19:45:00,Zürich HB,10,Schnee,2022
Basel-Lausanne,IC,Rollmaterial,2022-05-19 15:18:00,Lausanne,4,klar,2022
S5 Bern,S,Betrieb,2022-05-19 21:24:00,Bern,5,klar,2022
S5 Bern,S,Anschlusswarten,2022-05-20 17:00:00,Bern,2,klar,2022
Zürich-Schaffhausen,IR,Betrieb,2022-05-21 11:03:00,Zürich HB,2,klar,2022
Bern-Biel,IR,Infrastruktur,2022-05-21 14:28:00,Bern,12,Regen,2022
Genève-Lausanne,IC,Rollmaterial,2022-05-23 10:31:00,Nyon,2,Regen,2022
Basel-Olten,IC,Anschlusswarten,2022-05-23 10:33:00,Liestal,20,klar,2022
Lausanne-Brig,IR,Betrieb,2022-05-23 10:53:00,Sion,9,klar,2022
Zürich-Genève,IC,Rollmaterial,2022-05-24 08:24:00,Genève,6,klar,2022
Lausanne-Brig,IR,Infrastruktur,2022-05-25 03:28:00,Brig,9,klar,2022
Bern-Belp,RE,Anschlusswarten,2022-05-26 05:03:00,Bern,5,klar,2022
Bern-Biel,IR,Rollmaterial,2022-05-26 17:20:00,Bern,3,klar,2022
Zürich-Chur,IC,Extern,2022-05-27 19:59:00,Chur,17,klar,2022
Genève-Lausanne,IC,Betrieb,2022-05-28 06:21:00,Nyon,11,klar,2022
Olten-Zofingen,RE,Infrastruktur,2022-05-28 06:45:00,Olten,7,klar,2022
Lugano-Locarno,RE,Einsteigen,2022-05-28 07:45:00,Locarno,9,klar,2022
Basel-Lausanne,IC,Betrieb,2022-05-28 23:58:00,Bern,16,Regen,2022
S2 Zürich,S,Einsteigen,2022-05-29 12:10:00,Effretikon,2,Schnee,2022
Lugano-Locarno,RE,Rollmaterial,2022-05-30 10:17:00,Lugano,2,klar,2022
Zürich-Luzern,IC,Infrastruktur,2022-05-30 12:30:00,Zürich HB,29,klar,2022
Lugano-Locarno,RE,Anschlusswarten,2022-05-31 09:36:00,Lugano,2,klar,2022
Bern-Belp,RE,Rollmaterial,2022-06-02 23:32:00,Bern,2,klar,2022
Zürich-Schaffhausen,IR,Extern,2022-06-02 23:49:00,Bülach,41,Schnee,2022
Bern-Biel,IR,Infrastruktur,2022-06-03 06:08:00,Bern,8,klar,2022
Lausanne-Brig,IR,Anschlusswarten,2022-06-03 08:21:00,Brig,2,klar,2022
St. Gallen-Zürich,IR,Rollmaterial,2022-06-03 09:11:00,Zürich HB,11,klar,2022
St. Gallen-Zürich,IR,Anschlusswarten,2022-06-03 13:21:00,Winterthur,6,klar,2022
Zürich-Bern,IC,Anschlusswarten,2022-06-04 07:47:00,Bern,3,Nebel,2022
Zürich-Chur,IC,Betrieb,2022-06-05 19:57:00,Sargans,15,Schnee,2022
S5 Bern,S,Anschlusswarten,2022-06-07 08:41:00,Bern,3,klar,2022
S5 Bern,S,Extern,2022-06-08 19:20:00,Bern,6,Schnee,2022
Zürich-Bern,IC,Rollmaterial,2022-06-09 16:11:00,Zürich HB,7,klar,2022
Zürich-Luzern,IC,Rollmaterial,2022-06-11 06:21:00,Zürich HB,2,Nebel,2022
S6 Basel,S,Betrieb,2022-06-11 14:19:00,Pratteln,2,Regen,2022
Bern-Belp,RE,Betrieb,2022-06-12 18:08:00,Bern,9,Regen,2022
Genève-Lausanne,IC,Rollmaterial,2022-06-14 00:47:00,Nyon,17,klar,2022
Bern-Brig,IC,Infrastruktur,2022-06-14 13:37:00,Spiez,3,klar,2022
Zürich-Schaffhausen,IR,Infrastruktur,2022-06-15 06:38:00,Bülach,9,Regen,2022
St. Gallen-Zürich,IR,Anschlusswarten,2022-06-15 19:30:00,Zürich HB,2,klar,2022
Zürich-Luzern,IC,Betrieb,2022-06-15 21:50:00,Zug,7,klar,2022
Zürich-Chur,IC,Infrastruktur,2022-06-16 09:26:00,Sargans,25,klar,2022
Zürich-Luzern,IC,Rollmaterial,2022-06-16 11:10:00,Luzern,5,Regen,2022
S1 Lausanne,S,Anschlusswarten,2022-06-16 14:43:00,Lausanne,19,klar,2022
Olten-Zofingen,RE,Extern,2022-06-16 16:32:00,Zofingen,11,klar,2022
St. Gallen-Zürich,IR,Extern,2022-06-17 06:03:00,Winterthur,19,klar,2022
Zürich-Schaffhausen,IR,Anschlusswarten,2022-06-17 10:25:00,Bülach,18,Nebel,2022
Lugano-Locarno,RE,Anschlusswarten,2022-06-17 20:29:00,Lugano,3,Regen,2022
S5 Bern,S,Betrieb,2022-06-17 21:01:00,Burgdorf,10,klar,2022
Bern-Biel,IR,Rollmaterial,2022-06-17 23:16:00,Biel/Bienne,33,Schnee,2022
Lausanne-Brig,IR,Infrastruktur,2022-06-19 17:55:00,Sion,19,klar,2022
S5 Bern,S,Rollmaterial,2022-06-19 19:28:00,Burgdorf,2,Regen,2022
Zürich-Luzern,IC,Infrastruktur,2022-06-21 09:00:00,Zug,26,klar,2022
Lausanne-Brig,IR,Infrastruktur,2022-06-21 23:39:00,Lausanne,2,Nebel,2022
Basel-Lausanne,IC,Infrastruktur,2022-06-22 17:08:00,Bern,16,Regen,2022
Genève-Lausanne,IC,Infrastruktur,2022-06-23 11:57:00,Nyon,4,Regen,2022
