canton,year,population,tax_revenue,gdp_per_capita,cantonal_expenditure
BS,2021,198159,3142275000,137300,3163698000
BS,2022,197993,3217089000,139900,3425473000
BS,2023,199663,3350019000,144300,3492379000
FR,2014,317974,2178261000,61200,2182242000
FR,2015,318261,2250564000,61800,2325746000
FR,2016,318387,2327344000,63700,2409054000
FR,2017,323008,2398786000,64600,2233739000
FR,2018,324357,2441036000,65800,2576959000
FR,2019,326239,2508042000,67100,2471281000
FR,2020,326630,2565615000,68100,2532958000
FR,2021,330441,2676489000,71100,2725957000
FR,2022,329544,2715991000,70400,2623393000
FR,2023,331720,2791797000,73100,2776158000
GE,2014,499691,5873878000,93800,6287673000
GE,2015,500048,5960896000,93100,6327357000
GE,2016,504473,6275904000,95700,5837311000
GE,2017,508135,6465765000,98000,6370895000
GE,2018,508011,6615907000,100000,6608100000
GE,2019,510453,6783363000,101400,6733051000
GE,2020,515359,6970460000,106100,6880264000
GE,2021,518259,7053211000,106300,6600701000
GE,2022,519860,7268924000,110100,6725460000
GE,2023,521997,7454414000,112100,7878362000
GL,2014,40025,253779000,69100,244196000
GL,2015,39314,260568000,71100,243571000
GL,2016,39259,261708000,70500,273061000
GL,2017,40318,274946000,73800,277219000
GL,2018,39686,274953000,73700,291807000
GL,2019,41796,300285000,77000,304249000
GL,2020,38977,283061000,77200,301131000
GL,2021,41774,315624000,80100,300983000
GL,2022,39793,301219000,81300,319732000
GL,2023,40626,317800000,81200,339659000
GR,2014,193552,1414076000,65100,1317934000
GR,2015,191931,1448946000,67500,1400553000
GR,2016,193856,1509111000,69200,1498012000
GR,2017,196690,1575795000,70800,1607326000
GR,2018,197595,1619029000,71300,1630573000
GR,2019,198551,1661518000,73700,1547580000
GR,2020,197634,1663771000,74900,1682194000
GR,2021,199134,1704360000,76200,1758827000
GR,2022,202761,1788373000,77200,1668321000
GR,2023,200159,1798492000,78200,1726658000
JU,2014,69545,407091000,64500,438215000
JU,2015,70955,421944000,65100,396436000
JU,2016,73285,446913000,67600,457046000
JU,2017,72654,448016000,69300,429634000
JU,2018,71141,455374000,69000,474693000
JU,2019,71839,465775000,72200,452999000
JU,2020,71973,485260000,71600,513087000
JU,2021,72334,488468000,73600,463028000
JU,2022,74772,514221000,74400,538080000
JU,2023,73452,519303000,76100,482113000
LU,2014,404210,3061100000,69300,3255944000
LU,2015,405678,3143742000,71900,3148534000
LU,2016,406559,3210562000,71100,3276030000
LU,2017,411478,3360387000,72500,3296738000
LU,2018,414409,3471296000,76200,3671676000
LU,2019,412586,3550412000,77000,3571414000
LU,2020,415722,3647321000,77100,3609252000
LU,2021,418585,3779526000,80500,3636442000
LU,2022,420887,3805776000,82000,4031394000
LU,2023,422194,3939498000,82800,3720676000
NE,2014,166807,1132717000,72700,1205828000
NE,2015,167625,1148298000,73800,1162918000
NE,2016,168839,1177034000,75000,1223641000
NE,2017,167483,1196433000,77200,1286690000
NE,2018,169773,1266740000,79500,1217483000
NE,2019,171819,1295589000,81000,1346699000
NE,2020,170745,1303171000,82900,1228266000
NE,2021,174126,1383061000,83900,1489267000
NE,2022,174999,1416782000,84500,1482675000
NE,2023,172056,1412098000,86300,1451146000
NW,2014,41697,359890000,74100,384921000
NW,2015,41057,364360000,75000,358285000
NW,2016,43147,387443000,76800,403056000
NW,2017,40970,378132000,80200,408146000
NW,2018,41193,386296000,79800,413075000
NW,2019,44643,435518000,81700,411669000
NW,2020,44675,443234000,83900,477787000
NW,2021,44176,439815000,86100,425697000
NW,2022,44434,462141000,85800,433705000
NW,2023,42428,446063000,87800,453545000
OW,2014,39121,308556000,65200,292082000
OW,2015,37383,295877000,65500,274983000
OW,2016,37151,307634000,66600,321616000
OW,2017,37650,314093000,69600,338990000
OW,2018,38248,328925000,69100,318226000
OW,2019,40095,351154000,71400,365086000
OW,2020,36644,327934000,72700,346441000
OW,2021,37240,343541000,73100,326272000
OW,2022,39185,366378000,74800,344096000
OW,2023,40561,382983000,77000,390298000
SG,2014,503272,3637282000,69500,3419790000
SG,2015,505474,3735490000,71500,3779757000
SG,2016,506503,3826846000,71200,3552156000
SG,2017,511014,3954889000,74300,3892058000
SG,2018,510171,4054502000,73900,3826929000
SG,2019,514751,4146098000,77700,3892988000
SG,2020,518183,4298045000,78700,4109404000
SG,2021,519840,4386175000,79300,4638936000
SG,2022,524335,4500313000,81200,4579253000
SG,2023,525960,4678168000,81700,4461868000
SH,2014,82220,691381000,77900,722491000
SH,2015,81247,708055000,80400,673996000
SH,2016,79142,694239000,79800,713062000
SH,2017,81736,735157000,83100,766551000
SH,2018,80571,749029000,84900,702833000
SH,2019,83597,801769000,84800,740922000
SH,2020,81988,797402000,88800,784217000
SH,2021,84020,821983000,89700,838718000
SH,2022,81988,833109000,91800,846494000
SH,2023,82484,859451000,93300,838440000
SO,2014,268124,1744155000,65500,1856110000
SO,2015,270944,1803561000,66000,1808020000
SO,2016,271697,1860678000,69100,1935444000
SO,2017,273261,1909310000,69000,1764027000
SO,2018,272954,1963966000,72000,1829734000
SO,2019,275038,2031132000,71900,2094943000
SO,2020,276763,2067653000,74300,1904075000
SO,2021,279194,2158686000,74500,2132832000
SO,2022,278299,2206335000,76800,2047556000
SO,2023,279997,2258702000,78100,2367632000
SZ,2014,158724,1424119000,70200,1516498000
SZ,2015,162719,1471588000,71800,1511375000
SZ,2016,160977,1493514000,75000,1510491000
SZ,2017,162851,1574192000,76200,1496215000
SZ,2018,162188,1588139000,76800,1579760000
SZ,2019,165556,1667704000,79700,1560549000
SZ,2020,165090,1684572000,80900,1616827000
SZ,2021,165081,1725188000,81400,1664060000
SZ,2022,166159,1793309000,82900,1896991000
SZ,2023,168201,1813616000,85900,1911124000
TG,2014,275111,1947204000,65000,1854847000
TG,2015,275717,2016118000,65700,2080069000
TG,2016,275441,2064061000,67500,1977964000
TG,2017,277024,2099424000,68700,1962780000
TG,2018,281794,2205103000,69900,2070139000
TG,2019,282589,2235749000,71900,2238923000
TG,2020,281789,2297450000,73900,2203248000
TG,2021,284335,2340638000,75100,2343724000
TG,2022,287082,2441097000,75000,2554366000
TG,2023,286660,2490969000,76900,2618726000
TI,2014,340066,2799821000,69700,3023315000
TI,2015,342679,2878099000,71100,2806779000
TI,2016,344713,2997806000,72300,2912322000
TI,2017,345045,3083279000,74100,2951839000
TI,2018,349177,3135393000,76000,3238348000
TI,2019,351106,3252781000,77300,3419712000
TI,2020,353568,3356374000,77300,3357604000
TI,2021,353791,3462063000,80800,3428997000
TI,2022,355319,3513238000,82000,3462635000
TI,2023,357619,3581990000,82800,3850899000
UR,2014,36385,203117000,66400,204103000
UR,2015,33522,190516000,66000,203596000
UR,2016,37220,219677000,68100,204139000
UR,2017,37402,226542000,69000,226034000
UR,2018,34352,211695000,72000,199108000
UR,2019,36161,226517000,72200,240015000
UR,2020,36138,229294000,74300,237729000
UR,2021,35435,230231000,76700,235752000
UR,2022,36567,243787000,76100,233049000
UR,2023,36352,247718000,77800,236629000
VD,2014,797734,7959759000,78100,8407754000
VD,2015,803969,8255437000,79000,8013270000
VD,2016,807615,8464880000,82100,7836311000
VD,2017,809194,8647119000,83900,9335327000
VD,2018,816087,8871539000,83200,9061387000
VD,2019,820770,9123387000,86600,9712282000
VD,2020,821644,9416040000,87100,9227480000
VD,2021,826222,9604873000,89500,10054411000
VD,2022,830500,9746526000,92100,9933208000
VD,2023,834963,10203152000,91700,10139729000
VS,2014,347591,2094078000,59600,2196146000
VS,2015,352005,2199167000,61200,2178664000
VS,2016,351607,2243095000,63600,2215930000
VS,2017,353050,2320713000,63900,2277898000
VS,2018,355808,2353075000,66000,2381241000
VS,2019,359671,2435560000,68200,2497221000
VS,2020,358623,2498781000,68900,2596601000
VS,2021,359546,2561009000,69800,2726616000
VS,2022,362320,2646776000,71300,2584236000
VS,2023,365546,2712889000,72800,2808786000
ZG,2014,126533,1988340000,137600,2109682000
ZG,2015,123828,1979181000,138200,2115607000
ZG,2016,127593,2094967000,143500,2016802000
ZG,2017,128188,2109235000,146700,2230252000
ZG,2018,126584,2171372000,147600,2103692000
ZG,2019,129530,2236263000,148400,2126464000
ZG,2020,128317,2300887000,155900,2219574000
ZG,2021,130224,2356858000,158900,2370515000
ZG,2022,132070,2423157000,161800,2298536000
ZG,2023,132818,2496130000,160500,2469996000
ZH,2014,1489689,15418405000,81800,14735581000
ZH,2015,1497874,16186449000,85400,15116690000
ZH,2016,1504412,16343261000,85200,16357265000
ZH,2017,1510627,16875944000,88200,16997293000
ZH,2018,1519199,17542833000,90500,16157647000
ZH,2019,1529337,18102561000,90800,17104688000
ZH,2020,1537739,18424884000,91900,17236011000
ZH,2021,1545097,19035386000,95800,19735071000
ZH,2022,1551648,19689391000,96300,19853335000
ZH,2023,1560618,20032731000,99500,20280663000
